STATE_NAME,STATE,COUNTY_NAME,COUNTY,DATE,CASE_TYPE,CASES_White,CASES_Black,CASES_Asian,CASES_Native,CASES_OtherRace,CASES_UnknownRace,CASES_Hispanic,CASES_NotHispanic,CASES_UnknownEthnicity,tot_pop,white_pop,black_pop,native_pop,asian_pop,hispanic_pop,nothispanic_pop,nothispanic_white_pop,nothispanic_black_pop,Hispanic_as_Race,COUNTY_x,COUNTY_y,Prop_unknown,Prop_unknown_to_black,Black_Disparity,Hispanic_Disparity
Texas,48,Blanco,48031,2021-07-01,Complete Coverage,40.10958904109589,17.829457364341085,13.008130081300813,,297.0,317.0,26.19250425894378,,,11931.0,11282.0,183.0,148.0,123.0,2348.0,9583.0,9125.0,129.0,,,,0.001181921207868472,0.1881824661439772,,1.5313384563982626
Texas,48,Blanco,48031,2021-07-01,Partial Coverage,44.07671232876712,20.930232558139537,16.260162601626018,,354.0,362.0,31.00511073253833,,,11931.0,11282.0,183.0,148.0,123.0,2348.0,9583.0,9125.0,129.0,,,,0.001241719626808783,0.1869338190649666,,1.4215950624717748
Texas,48,Borden,48033,2021-07-01,Complete Coverage,18.217054263565892,0.0,100.0,,18.0,15.0,18.803418803418804,,,654.0,621.0,6.0,5.0,1.0,117.0,537.0,516.0,6.0,,,,0.002418328166620936,inf,,
Texas,48,Borden,48033,2021-07-01,Partial Coverage,19.96124031007752,16.666666666666668,100.0,,18.0,17.0,21.367521367521366,,,654.0,621.0,6.0,5.0,1.0,117.0,537.0,516.0,6.0,,,,0.0023131426463581448,0.35,,
Texas,48,Bosque,48035,2021-07-01,Complete Coverage,28.084663428174878,16.09907120743034,14.925373134328359,,471.0,903.0,16.444947636569488,,,18685.0,17683.0,406.0,168.0,134.0,3533.0,15152.0,14410.0,323.0,,,,0.002433446278969104,0.21021314892004547,1.7444896706347086,1.7077988965876394
Texas,48,Bosque,48035,2021-07-01,Partial Coverage,31.089521165857043,18.575851393188856,19.402985074626866,,543.0,1105.0,19.105575997735635,,,18685.0,17683.0,406.0,168.0,134.0,3533.0,15152.0,14410.0,323.0,,,,0.002619841041913104,0.21851559934318554,1.673652556095304,1.6272485670958954
Texas,48,Bowie,48037,2021-07-01,Complete Coverage,21.282486835400032,16.670243358084036,38.25448613376835,,1765.0,1153.0,19.70463558047313,,,93245.0,65033.0,23694.0,994.0,1226.0,7313.0,85932.0,58870.0,23299.0,,,,0.0014789909943857369,0.007387627063111661,1.2766752337229283,1.0800751299603084
Texas,48,Bowie,48037,2021-07-01,Partial Coverage,24.51333446577204,20.198291772179065,43.2300163132137,,2057.0,1633.0,24.928210036920554,,,93245.0,65033.0,23694.0,994.0,1226.0,7313.0,85932.0,58870.0,23299.0,,,,0.0015961974989968826,0.007710336647762585,1.2136340410497721,0.9833571856730166
Texas,48,Brazoria,48039,2021-07-01,Complete Coverage,32.22641509433962,37.22102365719387,50.595554206812835,,23644.0,8148.0,29.00102411321106,,,374264.0,280330.0,56612.0,3157.0,26362.0,118151.0,256113.0,169600.0,53768.0,,,,0.00199532054470065,0.01508763047395156,0.8658121654886588,1.1112164511341955
Texas,48,Brazoria,48039,2021-07-01,Partial Coverage,35.69516509433962,41.995238803749444,55.60655488961384,,26321.0,9739.0,33.09409145923437,,,374264.0,280330.0,56612.0,3157.0,26362.0,118151.0,256113.0,169600.0,53768.0,,,,0.0020263071432959218,0.015167610556453865,0.8499812386149037,1.0785963149436895
Texas,48,Brazos,48041,2021-07-01,Complete Coverage,37.86714973934643,23.16430688179124,48.37282135076253,,6022.0,4366.0,25.10195588847274,,,229211.0,182519.0,25612.0,1536.0,14688.0,60075.0,169136.0,126413.0,24296.0,,,,0.0010672259329301613,0.017509314275102703,1.6347197407021339,1.5085338332833136
Texas,48,Brazos,48041,2021-07-01,Partial Coverage,42.751932158876066,27.67122160026342,55.53513071895425,,7235.0,5972.0,29.752808988764045,,,229211.0,182519.0,25612.0,1536.0,14688.0,60075.0,169136.0,126413.0,24296.0,,,,0.0011868193871562936,0.01863512680647219,1.5449961977272837,1.4369040642522546
Texas,48,Brewster,48043,2021-07-01,Complete Coverage,38.52029681361851,13.333333333333334,22.54335260115607,,198.0,583.0,33.325318586198605,,,9203.0,8496.0,153.0,170.0,173.0,4159.0,5044.0,4582.0,120.0,,,,0.0016525972250744346,0.382843137254902,,1.1558868286279897
Texas,48,Brewster,48043,2021-07-01,Partial Coverage,43.91095591444784,21.666666666666668,23.69942196531792,,251.0,697.0,40.057706179370044,,,9203.0,8496.0,153.0,170.0,173.0,4159.0,5044.0,4582.0,120.0,,,,0.0017298307887787879,0.285972850678733,,1.0961924708774824
Texas,48,Briscoe,48045,2021-07-01,Complete Coverage,28.289473684210527,18.0,,,13.0,33.0,24.870466321243523,,,1546.0,1438.0,51.0,11.0,4.0,386.0,1160.0,1064.0,50.0,,,,0.0008976614583814773,0.05010893246187364,,1.1374725877192984
Texas,48,Briscoe,48045,2021-07-01,Partial Coverage,30.451127819548873,18.0,,,18.0,35.0,27.46113989637306,,,1546.0,1438.0,51.0,11.0,4.0,386.0,1160.0,1064.0,50.0,,,,0.0009573747532033482,0.05773420479302832,,1.1088806922967795
Texas,48,Brooks,48047,2021-07-01,Complete Coverage,151.03734439834025,12.820512820512821,9.75609756097561,,122.0,223.0,31.23553910226747,,,7093.0,6843.0,78.0,52.0,82.0,6483.0,610.0,482.0,39.0,,,,0.000278631721701249,0.345,,4.83543261103427
Texas,48,Brooks,48047,2021-07-01,Partial Coverage,173.65145228215766,15.384615384615385,9.75609756097561,,152.0,258.0,36.001850994909766,,,7093.0,6843.0,78.0,52.0,82.0,6483.0,610.0,482.0,39.0,,,,0.0002878997380494075,0.3416666666666667,,4.823403449636795
Texas,48,Brown,48049,2021-07-01,Complete Coverage,19.858659886329644,17.521994134897362,26.785714285714285,,1449.0,2366.0,14.939896966227819,,,37864.0,34986.0,1544.0,334.0,336.0,8735.0,29129.0,26744.0,1364.0,,,,0.004409670356926983,0.14101448175688858,1.1333561541821604,1.3292367364527926
Texas,48,Brown,48049,2021-07-01,Partial Coverage,21.55249775650613,18.914956011730204,31.25,,1613.0,2519.0,17.10360618202633,,,37864.0,34986.0,1544.0,334.0,336.0,8735.0,29129.0,26744.0,1364.0,,,,0.004361997766835585,0.14148411455195406,1.1394421294524948,1.2601142429925105
Texas,48,Burleson,48051,2021-07-01,Complete Coverage,33.31645569620253,28.192664604507293,36.734693877551024,,398.0,459.0,20.005129520389843,,,18443.0,15471.0,2350.0,209.0,98.0,3899.0,14544.0,11850.0,2263.0,,,,0.001290373778090564,0.012935309811245249,1.181741994365303,1.6653956507627394
Texas,48,Burleson,48051,2021-07-01,Partial Coverage,36.371308016877634,31.02076889085285,41.83673469387755,,448.0,587.0,22.492946909463964,,,18443.0,15471.0,2350.0,209.0,98.0,3899.0,14544.0,11850.0,2263.0,,,,0.0014208556368262293,0.014197763229678124,1.172482479233534,1.6170094636009795
Texas,48,Burnet,48053,2021-07-01,Complete Coverage,35.105415695857246,19.471153846153847,33.86138613861386,,1467.0,1486.0,17.04064741585433,,,48155.0,45360.0,982.0,584.0,505.0,10874.0,37281.0,35194.0,832.0,,,,0.0016253357946549793,0.15444016997309595,1.802944806108224,2.0600987062965554
