Geography,Geographic Level,FIPS Code,LDH Region,Demographic Group,Vaccine Status,Count,x,y
_Region 2,REGION,,2,Aged 0-4,Complete,0,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Aged 18-29,Complete,27886,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Aged 30-39,Complete,30417,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Aged 40-49,Complete,34819,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Aged 50-59,Complete,45054,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Aged 5-17,Complete,5067,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Aged 60-69,Complete,53389,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Aged 70 plus,Complete,53303,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Age Unknown,Complete,24,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Black,Complete,87885,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Other Race,Complete,24674,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Unknown Race,Complete,2369,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,White,Complete,135031,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Female,Complete,138403,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Male,Complete,111042,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Gender Unkown,Complete,514,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Aged 0-4,Incomplete,0,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Aged 18-29,Incomplete,4618,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Aged 30-39,Incomplete,3843,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Aged 40-49,Incomplete,3755,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Aged 50-59,Incomplete,3912,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Aged 5-17,Incomplete,2416,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Aged 60-69,Incomplete,3115,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Aged 70 plus,Incomplete,2211,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Age Unknown,Incomplete,23,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Black,Incomplete,10217,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Other Race,Incomplete,3180,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Unknown Race,Incomplete,396,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,White,Incomplete,10100,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Female,Incomplete,12632,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Male,Incomplete,11194,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Gender Unkown,Incomplete,67,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Aged 0-4,Unvaccinated,44624,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Aged 18-29,Unvaccinated,100808,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Aged 30-39,Unvaccinated,57476,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Aged 40-49,Unvaccinated,42307,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Aged 50-59,Unvaccinated,37915,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Aged 5-17,Unvaccinated,106702,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Aged 60-69,Unvaccinated,14833,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Aged 70 plus,Unvaccinated,2650,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Age Unknown,Unvaccinated,,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Black,Unvaccinated,181856,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Other Race,Unvaccinated,11111,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Unknown Race,Unvaccinated,,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,White,Unvaccinated,217066,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Female,Unvaccinated,182396,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Male,Unvaccinated,225453,-10161120.66817014,3576784.822526931
_Region 2,REGION,,2,Gender Unkown,Unvaccinated,,-10161120.66817014,3576784.822526931
_Region 3,REGION,,3,Aged 0-4,Complete,0,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,Aged 18-29,Complete,10219,-10108433.153177682,3450445.5166252605
_Region 3,REGION,,3,Aged 30-39,Complete,11618,-10108433.153177682,3450445.5166252605
